timestamp,voltage,current,temperature,humidity,transistor_state
2024-10-08 13:16:25,5.12,25.7,24.7,11.0,0
2024-10-08 13:16:27,5.13,25.9,24.7,11.0,0
2024-10-08 13:16:30,5.13,25.7,24.8,11.0,0
2024-10-08 13:16:32,5.12,26.1,24.7,11.0,0
2024-10-08 13:16:33,5.12,25.8,24.7,11.0,0
2024-10-08 13:16:36,5.12,25.8,24.8,11.0,0
2024-10-08 13:16:38,5.12,25.6,24.7,11.0,0
2024-10-08 13:16:41,5.13,26.1,24.7,11.0,0
2024-10-08 13:16:43,5.12,25.6,24.6,11.0,0
2024-10-08 13:16:46,5.12,26.0,24.6,11.0,0
2024-10-08 13:16:49,5.12,25.9,24.7,11.0,0
2024-10-08 13:16:51,5.13,26.4,24.6,11.0,0
2024-10-08 13:16:54,5.12,26.2,24.5,11.0,0
2024-10-08 13:16:57,5.12,26.3,24.7,11.0,0
2024-10-08 13:16:59,5.12,26.4,24.7,11.0,0
2024-10-08 13:17:02,5.13,25.7,24.6,11.0,0
2024-10-08 13:17:04,5.13,25.9,24.7,11.0,0
2024-10-08 13:17:06,5.13,25.9,24.7,11.0,0
2024-10-08 13:17:09,5.12,25.8,24.6,11.0,0
2024-10-08 13:17:12,5.13,26.2,24.7,11.0,0
2024-10-08 13:17:13,5.12,26.0,24.7,11.0,0
2024-10-08 13:17:14,5.13,25.6,24.7,10.0,0
2024-10-08 13:17:17,5.12,25.9,24.7,10.0,0
2024-10-08 13:17:19,5.13,25.7,24.6,11.0,0
2024-10-08 13:17:22,5.13,25.9,24.7,11.0,0
2024-10-08 13:17:23,5.13,26.0,24.7,11.0,0
2024-10-08 13:17:25,5.13,25.6,24.7,11.0,0
2024-10-08 13:17:28,5.13,26.1,24.6,11.0,0
2024-10-08 13:17:31,5.12,25.7,24.7,11.0,0
2024-10-08 13:17:33,5.12,22.6,24.7,10.0,0
2024-10-08 13:17:35,5.12,23.6,24.7,10.0,0
2024-10-08 13:17:37,5.12,23.7,24.8,11.0,0
2024-10-08 13:17:40,5.13,23.4,25.0,11.0,0
2024-10-08 13:17:41,5.12,23.1,25.0,11.0,0
2024-10-08 13:17:43,5.12,24.0,25.2,11.0,0
2024-10-08 13:17:46,5.12,24.0,25.6,11.0,0
2024-10-08 13:17:48,5.12,23.8,25.8,11.0,0
2024-10-08 13:17:50,5.12,24.0,25.8,11.0,0
2024-10-08 13:17:52,5.13,24.5,26.0,11.0,0
2024-10-08 13:17:55,5.12,24.3,26.3,11.0,0
2024-10-08 13:17:56,5.12,23.8,26.3,11.0,0
2024-10-08 13:17:58,5.12,24.8,26.8,11.0,0
2024-10-08 13:18:00,5.13,24.6,26.8,11.0,0
2024-10-08 13:18:02,5.12,24.5,27.0,11.0,0
2024-10-08 13:18:03,5.12,24.4,27.0,11.0,0
2024-10-08 13:18:06,5.12,24.4,27.3,11.0,0
2024-10-08 13:18:08,5.12,24.3,27.6,10.0,0
2024-10-08 13:18:11,5.12,24.3,27.7,11.0,0
2024-10-08 13:18:14,5.12,24.3,27.6,11.0,0
2024-10-08 13:18:16,5.12,24.2,28.0,10.0,0
2024-10-08 13:18:19,5.12,24.1,28.3,10.0,0
2024-10-08 13:18:22,5.12,24.2,28.3,10.0,0
2024-10-08 13:18:24,5.12,24.5,28.5,10.0,0
2024-10-08 13:18:26,5.12,24.1,28.4,10.0,0
2024-10-08 13:18:29,5.12,24.3,28.6,10.0,0
2024-10-08 13:18:32,5.12,24.3,28.6,10.0,0
2024-10-08 13:18:33,5.12,24.3,28.6,10.0,0
2024-10-08 13:18:35,5.12,24.2,28.8,10.0,0
2024-10-08 13:18:38,5.12,24.4,28.9,10.0,0
2024-10-08 13:18:39,5.12,24.6,28.9,10.0,0
2024-10-08 13:18:41,5.12,24.6,29.0,10.0,0
